method,spp,mse,psnr
Random,1,0.031096842139959335,15.072837109996035
Random,2,0.014529473148286343,18.377501333234775
Random,4,0.006652414333075285,21.77020709397729
Random,8,0.0030985716730356216,25.088384537360653
Random,16,0.0015382583951577544,28.12970706039551
Random,32,0.0008087122696451843,30.922059677972907
Random,64,0.0004604657005984336,33.36802714208959
Random,128,0.00028632557950913906,35.4313985161714
Random,256,0.00020202965242788196,36.945848833222016
Random,512,0.00016005880024749786,37.95720442770338
Sobol,1,0.02664857544004917,15.74326002211965
Sobol,2,0.012348337098956108,19.08391523163203
Sobol,4,0.004560159984976053,23.41019920630856
Sobol,8,0.0017129031475633383,27.662671925907915
Sobol,16,0.0007803982007317245,31.07683740575808
Sobol,32,0.0004745960177388042,33.23675910200683
Sobol,64,0.00036838086089119315,34.33702941518792
Sobol,128,0.00032892756280489266,34.82899732864192
Sobol,256,0.0003140128101222217,35.03052634564004
Sobol,512,0.00030824096756987274,35.11109640740458
Scrambled Sobol,1,0.03104095347225666,15.080649471632059
Scrambled Sobol,2,0.013503610156476498,18.695501084357595
Scrambled Sobol,4,0.004311458673328161,23.653757723910296
Scrambled Sobol,8,0.0015942377503961325,27.974469113053008
Scrambled Sobol,16,0.0007382275070995092,31.318097765896113
Scrambled Sobol,32,0.00046305550495162606,33.34366948400128
Scrambled Sobol,64,0.00036694365553557873,34.354006168612294
Scrambled Sobol,128,0.0003303036210127175,34.81086665251298
Scrambled Sobol,256,0.0003162809880450368,34.99926913159483
Scrambled Sobol,512,0.00031070681870914996,35.076492157013725
